ticker,date,Open,High,Low,Close,Volume,ma5,ma20,ret1,ret5,ret20,probability_up
aapl.us,1993-01-04,1.9057,1.9209,1.8492,1.8646,36013849,1.8646,1.8646,0.0171618577711036,0.1009331760163037,0.051485573313311,
aapl.us,1993-01-05,1.857,1.8966,1.8326,1.8966,51943633,1.8806,1.8806,0.042549826004429,0.0384899293472529,0.016872297796056,
aapl.us,1993-01-06,1.9452,1.9849,1.9363,1.9773,78477691,1.9128333333333336,1.9128333333333336,-0.0121883376321245,0.0285237445000758,-0.0285237445000758,
aapl.us,1993-01-07,1.9773,2.0003,1.9401,1.9532,75894571,1.922925,1.922925,0.0201720253942248,0.065431087446242,-0.0243190661478599,
aapl.us,1993-01-08,1.9452,2.0171,1.9132,1.9926,89503611,1.93686,1.93686,0.0302117835993174,-0.0321188397069155,-0.0802970992672889,
aapl.us,1993-01-11,1.9849,2.0605,1.9773,2.0528,76338104,1.9744999999999997,1.9561833333333336,-0.0405300077942322,-0.0716582229150428,-0.1190081839438814,
aapl.us,1993-01-12,2.0093,2.0414,1.9696,1.9696,96537699,1.9891,1.9581,0.0325446791226644,-0.0286352558895207,-0.075446791226645,
aapl.us,1993-01-13,1.9696,2.0489,1.9606,2.0337,55676218,2.00038,1.96755,0.0232581009981807,-0.055465407877268,-0.1221419088361115,
aapl.us,1993-01-14,2.0489,2.0885,2.0414,2.081,102575418,2.02594,1.9801555555555557,-0.0732340221047572,-0.076934166266218,-0.1518981259010091,
aapl.us,1993-01-15,1.9532,1.9926,1.9209,1.9286,251728311,2.01314,1.975,-0.0118738981644717,-0.0118738981644717,-0.1056206574717411,
aapl.us,1993-01-18,1.9057,1.9209,1.857,1.9057,93045647,1.98372,1.9687,0.0039355617358451,0.0079760717846462,-0.1096709870388832,
aapl.us,1993-01-19,1.9132,1.9363,1.8966,1.9132,76425552,1.97244,1.964075,0.0040246707087601,0.0167259042441982,-0.0984214927869537,
aapl.us,1993-01-20,1.9132,1.9286,1.9057,1.9209,44269230,1.94988,1.960753846153846,0.0,0.0040085376646363,-0.0831901712738819,
aapl.us,1993-01-21,1.9132,1.9286,1.8813,1.9209,51431394,1.9178600000000003,1.9579071428571428,-0.0079129574678536,-0.0020823572283825,-0.0831901712738819,
aapl.us,1993-01-22,1.9286,1.9286,1.8887,1.9057,40980199,1.91328,1.9544266666666668,0.0079760717846462,0.0,-0.0738836123209319,
aapl.us,1993-01-25,1.8966,1.9363,1.8966,1.9209,56410219,1.91632,1.95233125,0.0126503201624239,0.0206673954916964,-0.095944609297725,
aapl.us,1993-01-26,1.9363,1.9849,1.9363,1.9452,79655247,1.92272,1.951911764705882,-0.0085338268558502,-0.0085338268558502,-0.1178799095208719,
aapl.us,1993-01-27,1.9532,1.9773,1.8813,1.9286,63200715,1.9242600000000003,1.9506166666666669,-0.0060665767914549,-0.003992533443949,-0.0909986518718241,
aapl.us,1993-01-28,1.9209,1.9286,1.8966,1.9169,51325190,1.92346,1.948842105263158,-0.0058427669674996,-0.0058427669674996,-0.114872971986019,
aapl.us,1993-01-29,1.9286,1.9606,1.8887,1.9057,74210991,1.92346,1.946685,0.0288083119063859,-0.0383586083853701,-0.1056304769900824,
aapl.us,1993-02-01,1.8966,1.9606,1.8966,1.9606,67086317,1.9314,1.951485,-0.016321534224217,-0.0775782923594817,-0.1142507395695194,
aapl.us,1993-02-02,1.9452,1.9696,1.9286,1.9286,50850425,1.92808,1.9530849999999995,-0.003992533443949,-0.0557917660479104,-0.0936949082235819,
aapl.us,1993-02-03,1.9532,1.9532,1.8722,1.9209,73676881,1.92654,1.950265,-0.0079129574678536,-0.0705919100421677,-0.0831901712738819,
aapl.us,1993-02-04,1.9209,1.9286,1.8887,1.9057,58050064,1.9243,1.9478900000000003,-0.0383586083853701,-0.0738836123209319,-0.0758776302670933,
aapl.us,1993-02-05,1.8966,1.9057,1.8005,1.8326,102522312,1.9096800000000005,1.93989,-0.013150714831387,-0.0587689621303065,-0.013150714831387,
aapl.us,1993-02-08,1.825,1.8414,1.7775,1.8085,78387113,1.87926,1.927675,0.0069118053635608,-0.0618191871716892,0.0047000276472213,
aapl.us,1993-02-09,1.825,1.8377,1.8085,1.821,66558457,1.85774,1.920245,-0.0196046128500823,-0.0527732015376166,-0.0021965952773201,
aapl.us,1993-02-10,1.825,1.8326,1.7611,1.7853,74820081,1.83062,1.907825,-0.0114266509830281,-0.0135551447935921,0.019996639220299,
