ticker,start_date,end_date,days,max_consecutive_days,total_stale_days
TMSR,2017-06-27,2017-08-30,65,46,531
LFVN,2003-05-19,2003-07-22,65,290,2466
MSVB,2001-01-02,2001-03-07,65,115,3926
HNRG,2004-01-12,2004-03-16,65,73,3290
HNRG,2003-08-21,2003-10-24,65,73,3290
FSBC,2010-07-28,2010-09-30,65,56,1958
KELYB,2001-06-07,2001-08-10,65,96,4631
WPM,2002-08-13,2002-10-16,65,92,996
PJT,2006-04-12,2006-06-15,65,78,2431
VMD,2012-09-26,2012-11-29,65,213,1247
OPBK,2008-11-24,2009-01-27,65,161,2090
UCIB,2016-10-03,2016-12-06,65,83,819
EVGN,2013-03-05,2013-05-08,65,77,725
NVGS,2008-07-10,2008-09-12,65,203,1442
BRBS,2014-05-05,2014-07-08,65,45,1302
VNRX,2012-08-15,2012-10-17,64,45,246
HNRG,1998-06-25,1998-08-27,64,73,3290
SPFI,2017-04-12,2017-06-14,64,229,1793
GIX,2017-10-03,2017-12-05,64,117,2607
NVGS,2011-09-20,2011-11-22,64,203,1442
OPBK,2009-05-26,2009-07-28,64,161,2090
WVVIP,2016-09-23,2016-11-25,64,45,358
MLPO,2016-09-16,2016-11-18,64,77,983
CXDC,2008-10-29,2008-12-31,64,73,350
AYTU,2011-01-05,2011-03-09,64,131,1696
AVCO,2017-05-24,2017-07-26,64,31,174
AYTU,2015-06-12,2015-08-14,64,131,1696
AYTU,2014-06-10,2014-08-12,64,131,1696
DSS,1994-06-24,1994-08-26,64,53,780
CIVB,1995-07-10,1995-09-11,64,45,1212
BE,2006-10-16,2006-12-18,64,117,2051
BCTF,2011-08-15,2011-10-17,64,155,3025
VBFC,2000-06-06,2000-08-08,64,45,2026
CNF,2016-09-19,2016-11-21,64,107,627
FPAY,2012-10-18,2012-12-20,64,105,1055
CLSK,2015-10-14,2015-12-16,64,238,1229
TU,1998-01-27,1998-03-30,63,87,918
WEI,2011-12-30,2012-03-01,63,1453,3275
KIQ,2007-05-11,2007-07-12,63,175,3475
NAK,2001-11-09,2002-01-10,63,66,266
NWGI,2013-08-01,2013-10-02,63,65,1434
EVGN,2011-06-01,2011-08-02,63,77,725
ROAD,2013-07-05,2013-09-05,63,614,1154
AEMD,1999-06-09,1999-08-10,63,49,802
LFVN,2001-09-28,2001-11-29,63,290,2466
CTZ,2012-12-07,2013-02-07,63,68,2291
GWB,2010-12-30,2011-03-02,63,247,1415
GIX,2012-08-10,2012-10-11,63,117,2607
VFF,2014-10-30,2014-12-31,63,84,379
NIU,1999-07-02,1999-09-02,63,80,2245
BLD,2014-06-03,2014-08-04,63,62,1016
CPHI,2004-04-23,2004-06-24,63,60,809
PBHC,2014-01-31,2014-04-03,63,44,2267
MSVB,2006-12-21,2007-02-20,62,115,3926
MXC,2001-03-22,2001-05-22,62,164,2419
NWGI,2006-06-22,2006-08-22,62,65,1434
TXMD,2007-12-13,2008-02-12,62,107,883
IMV,2013-05-24,2013-07-24,62,50,1241
RCA,2015-02-25,2015-04-27,62,166,1039
IFS,2013-04-03,2013-06-03,62,43,525
CLSK,2017-08-02,2017-10-02,62,238,1229
FSBC,2013-09-13,2013-11-13,62,56,1958
MLPB,2016-04-07,2016-06-07,62,75,863
JJE,2018-07-11,2018-09-10,62,57,624
MSVB,2010-11-19,2011-01-19,62,115,3926
MSVB,2010-01-08,2010-03-10,62,115,3926
LFVN,2000-04-26,2000-06-26,62,290,2466
VMD,2004-07-01,2004-08-31,62,213,1247
BRBS,2013-09-18,2013-11-18,62,45,1302
LNG,1995-08-11,1995-10-11,62,49,560
CIH,2000-09-21,2000-11-21,62,44,192
SPFI,2016-12-28,2017-02-27,62,229,1793
MOMO,2011-01-03,2011-03-04,61,43,1142
ARWR,2000-07-20,2000-09-18,61,70,2032
HNRG,2004-08-20,2004-10-19,61,73,3290
MXC,1995-05-11,1995-07-10,61,164,2419
CO,2009-03-30,2009-05-29,61,43,391
EEH,2018-06-14,2018-08-13,61,48,1717
LBTYB,2016-02-11,2016-04-11,61,41,1790
PCB,2012-05-17,2012-07-16,61,131,830
IFS,2013-06-06,2013-08-05,61,43,525
VFF,2015-10-19,2015-12-18,61,84,379
MAYS,1996-05-24,1996-07-23,61,55,4187
CMCTP,2019-04-22,2019-06-21,61,44,287
MTC,2017-05-12,2017-07-11,61,90,1130
MSVB,2012-12-31,2013-02-28,60,115,3926
WPM,2003-07-11,2003-09-08,60,92,996
NEXT,2015-10-16,2015-12-14,60,41,334
RMG,2006-03-27,2006-05-25,60,120,1003
BSRR,1995-02-28,1995-04-28,60,69,867
SRNE,2008-03-11,2008-05-09,60,82,1223
KIQ,2006-06-02,2006-07-31,60,175,3475
HQI,2005-04-12,2005-06-10,60,71,698
CEMI,2002-02-15,2002-04-15,60,70,937
MSVB,2003-06-02,2003-07-31,60,115,3926
CIVB,1996-01-29,1996-03-28,60,45,1212
BSRR,1995-10-10,1995-12-07,59,69,867
DTSS,2017-11-29,2018-01-26,59,40,116
PTVCA,2001-05-16,2001-07-13,59,103,3782
HNRG,1997-04-14,1997-06-11,59,73,3290
RDIB,2014-08-19,2014-10-16,59,64,1468
CCB,2013-07-10,2013-09-06,59,253,1818
SRNE,2008-10-20,2008-12-17,59,82,1223
CAE,1996-01-17,1996-03-15,59,50,1194
PAYS,2009-02-02,2009-04-01,59,93,1140
FSBC,2009-05-18,2009-07-15,59,56,1958
BRBS,2015-02-02,2015-04-01,59,45,1302
MCF,1999-06-21,1999-08-18,59,90,1481
WWR,2002-08-06,2002-10-03,59,42,493
AGM,1994-06-22,1994-08-19,59,50,538
HNRG,2000-09-20,2000-11-17,59,73,3290
CEMI,2002-10-16,2002-12-12,58,70,937
NET,2015-03-24,2015-05-20,58,146,1342
PTVCA,1994-03-02,1994-04-28,58,103,3782
CAMP,2001-04-10,2001-06-06,58,40,47
PLX,2003-09-25,2003-11-21,58,80,1679
EBMT,2007-11-13,2008-01-09,58,59,1786
CLSK,2017-12-18,2018-02-13,58,238,1229
HNRG,1999-10-12,1999-12-08,58,73,3290
LONE,2010-06-23,2010-08-19,58,60,1126
OCCI,2017-02-06,2017-04-04,58,426,1236
GLIBP,2018-01-02,2018-02-28,58,86,1141
CKX,2000-04-13,2000-06-09,58,86,1945
LNG,1995-04-26,1995-06-22,58,49,560
OPBK,2008-09-18,2008-11-14,58,161,2090
EVGN,2013-08-01,2013-09-27,58,77,725
AGM,1994-04-04,1994-05-31,58,50,538
ITP,2007-10-18,2007-12-14,58,41,205
LTRPB,2018-02-27,2018-04-24,57,40,997
RCA,2017-10-20,2017-12-15,57,166,1039
FPAY,2011-04-06,2011-06-01,57,105,1055
CPHI,2005-05-26,2005-07-21,57,60,809
GIX,2001-11-02,2001-12-28,57,117,2607
FSI,1999-12-16,2000-02-10,57,39,304
PLX,2003-02-25,2003-04-22,57,80,1679
PWOD,1996-01-25,1996-03-21,57,73,1405
TH,2009-11-16,2010-01-11,57,38,508
KBLMU,2020-01-27,2020-03-23,57,72,494
CO,2009-09-16,2009-11-11,57,43,391
RCA,2016-09-12,2016-11-07,57,166,1039
CAE,1997-02-26,1997-04-23,57,50,1194
GSX,2015-01-05,2015-03-02,57,45,430
PJT,2012-09-24,2012-11-19,57,78,2431
BCTF,2008-05-19,2008-07-14,57,155,3025
MCF,1998-07-16,1998-09-10,57,90,1481
GRAF,2009-10-29,2009-12-24,57,1223,3366
MARA,2012-09-12,2012-11-07,57,39,170
NMRD,2015-09-30,2015-11-25,57,55,325
OPBK,2012-01-20,2012-03-16,57,161,2090
OPBK,2012-12-07,2013-02-01,57,161,2090
KIQ,2001-06-14,2001-08-09,57,175,3475
PME,2013-04-11,2013-06-06,57,40,330
TROV,2004-08-12,2004-10-07,57,40,821
OR,2015-01-27,2015-03-24,57,55,135
PIC,2015-04-27,2015-06-22,57,32,232
CBH,2016-09-30,2016-11-25,57,40,590
TCFC,2008-03-12,2008-05-07,57,40,1507
PLX,2005-10-10,2005-12-05,57,80,1679
MESA,2018-04-09,2018-06-04,57,7,7
GWB,2010-06-28,2010-08-23,57,247,1415
MLPB,2016-10-06,2016-12-01,57,75,863
WKEY,2019-09-05,2019-10-31,57,72,276
PTI,2015-03-25,2015-05-20,57,40,94
IMV,2010-04-01,2010-05-27,57,50,1241
BCTF,2010-07-28,2010-09-22,57,155,3025
KFS,1998-06-12,1998-08-07,57,106,730
KFS,1998-10-07,1998-12-02,57,106,730
BCTF,2012-04-19,2012-06-14,57,155,3025
SRNE,2009-12-07,2010-02-01,57,82,1223
BCDA,2012-04-13,2012-06-08,57,61,1991
AMRH,2016-10-20,2016-12-15,57,40,440
ARWR,1997-09-12,1997-11-07,57,70,2032
KIQ,2005-02-22,2005-04-18,56,175,3475
GSX,2016-01-07,2016-03-02,56,45,430
MOMO,2011-04-20,2011-06-14,56,43,1142
RUBY,2011-11-18,2012-01-12,56,36,522
HMG,2008-03-14,2008-05-08,56,39,3152
HQI,2003-11-18,2004-01-12,56,71,698
GLIBP,2013-08-08,2013-10-02,56,86,1141
CCBG,1994-07-27,1994-09-20,56,233,717
PTVCA,1997-09-26,1997-11-20,56,103,3782
MLPO,2016-07-13,2016-09-06,56,77,983
PLX,2003-06-13,2003-08-07,56,80,1679
ARWR,2003-07-17,2003-09-10,56,70,2032
FIV,2009-07-30,2009-09-23,56,616,1064
KELYB,2005-11-17,2006-01-11,56,96,4631
RDIB,2018-12-14,2019-02-07,56,64,1468
ALACR,2013-01-08,2013-03-04,56,182,754
ARWR,2003-02-14,2003-04-10,56,70,2032
CPHI,2002-10-11,2002-12-05,56,60,809
CPHI,2003-06-06,2003-07-31,56,60,809
GBR,2002-08-01,2002-09-25,56,39,1204
HNRG,2001-09-20,2001-11-14,56,73,3290
OTTW,2013-06-19,2013-08-13,56,39,1706
MSVB,2002-07-26,2002-09-19,56,115,3926
BSRR,1994-12-08,1995-02-01,56,69,867
CIVB,1996-09-19,1996-11-13,56,45,1212
LD,2016-07-13,2016-09-06,56,91,1282
GMAB,2010-01-13,2010-03-09,56,241,1068
PFBC,2000-03-21,2000-05-15,56,228,1314
COFS,2003-09-23,2003-11-17,56,58,2372
PTE,2002-04-18,2002-06-12,56,39,605
FGBI,2013-08-16,2013-10-10,56,57,699
REI,2007-12-07,2008-01-30,55,98,1160
NEW,2009-05-21,2009-07-14,55,37,1104
MLPB,2018-07-20,2018-09-12,55,75,863
SPFI,2018-01-03,2018-02-26,55,229,1793
ATLO,2001-10-03,2001-11-26,55,181,973
NBN,1995-08-25,1995-10-18,55,38,1484
GPRK,2013-06-20,2013-08-13,55,51,697
BE,2007-01-24,2007-03-19,55,117,2051
MAYS,1993-01-27,1993-03-22,55,55,4187
BE,2001-04-18,2001-06-11,55,117,2051
PEBK,1997-01-22,1997-03-17,55,38,1334
MESO,2010-02-05,2010-03-31,55,38,373
MXC,2000-12-20,2001-02-12,55,164,2419
LNG,1994-10-27,1994-12-20,55,49,560
GIX,2015-08-20,2015-10-13,55,117,2607
MLPE,2018-05-10,2018-07-03,55,52,654
PECK,2018-05-31,2018-07-24,55,38,339
BRBS,2015-04-06,2015-05-29,54,45,1302
IFS,2013-08-08,2013-09-30,54,43,525
OTTW,2011-05-06,2011-06-28,54,39,1706
DIVC,2019-10-28,2019-12-20,54,116,762
MCF,1998-05-14,1998-07-06,54,90,1481
ROSEU,2017-06-23,2017-08-15,54,102,665
PTVCA,1995-10-30,1995-12-22,54,103,3782
EVGN,2010-10-18,2010-12-10,54,77,725
BHAT,2016-07-29,2016-09-20,54,234,1339
GLIBP,2013-12-27,2014-02-18,54,86,1141
KFS,2000-10-02,2000-11-24,54,106,730
HMI,2002-10-11,2002-12-03,54,556,926
CKX,2002-06-17,2002-08-09,54,86,1945
PFBC,2004-01-08,2004-03-01,54,228,1314
GHG,2011-11-17,2012-01-09,54,70,661
KELYB,1998-06-15,1998-08-07,54,96,4631
MLPO,2015-10-22,2015-12-14,54,77,983
MXC,1996-06-13,1996-08-05,54,164,2419
PFBC,2000-01-24,2000-03-17,54,228,1314
TU,1996-06-14,1996-08-05,53,87,918
REI,2008-02-01,2008-03-24,53,98,1160
RDIB,2017-09-12,2017-11-03,53,64,1468
BE,2003-11-21,2004-01-12,53,117,2051
AGBA,2019-12-20,2020-02-10,53,34,134
YUMA,1997-07-08,1997-08-29,53,319,2485
LMNR,2004-01-23,2004-03-15,53,54,781
WKEY,2019-11-04,2019-12-26,53,72,276
MSVB,2006-05-23,2006-07-14,53,115,3926
LFVN,2003-09-08,2003-10-30,53,290,2466
MSVB,2007-11-06,2007-12-28,53,115,3926
MDIA,2016-05-06,2016-06-27,53,18,92
RIVE,2009-09-08,2009-10-30,53,39,1106
LD,2017-07-18,2017-09-08,53,91,1282
NSEC,1996-10-28,1996-12-19,53,38,2574
TXMD,2007-09-21,2007-11-12,53,107,883
ARTNA,1995-03-27,1995-05-18,53,38,447
AGX,1995-08-21,1995-10-12,53,38,1288
OSW,2013-12-17,2014-02-07,53,213,1283
MAYS,1996-09-30,1996-11-21,53,55,4187
ESTE,1999-09-03,1999-10-25,53,36,1208
GRAF,2010-05-03,2010-06-23,52,1223,3366
MLPO,2018-06-20,2018-08-10,52,77,983
CLSK,2016-02-02,2016-03-24,52,238,1229
PTVCA,2001-09-25,2001-11-15,52,103,3782
LOACU,2020-01-15,2020-03-06,52,36,238
YUMA,1998-06-22,1998-08-12,52,319,2485
REI,2007-08-15,2007-10-05,52,98,1160
AMCR,2016-10-18,2016-12-08,52,54,1345
SG,2017-08-01,2017-09-21,52,144,1810
ARWR,2001-01-03,2001-02-23,52,70,2032
AMUB,2017-04-19,2017-06-09,52,160,831
CVLY,1994-06-21,1994-08-11,52,37,1567
HNRG,1995-05-24,1995-07-14,52,73,3290
GIX,2015-11-03,2015-12-24,52,117,2607
KIQ,2007-08-08,2007-09-28,52,175,3475
BCLI,2003-12-22,2004-02-10,51,48,217
RDIB,2015-11-25,2016-01-14,51,64,1468
FSBC,2010-02-04,2010-03-26,51,56,1958
HNRG,1998-02-02,1998-03-24,51,73,3290
PTVCA,1993-07-22,1993-09-10,51,103,3782
MEC,2012-02-06,2012-03-27,51,55,863
CLSK,2017-05-25,2017-07-14,51,238,1229
LFVN,1997-03-11,1997-04-30,51,290,2466
KBSF,2014-12-29,2015-02-17,51,34,437
OR,2015-04-16,2015-06-05,51,55,135
PCB,2014-06-11,2014-07-31,51,131,830
BCTF,2010-05-20,2010-07-09,51,155,3025
STG,2009-05-18,2009-07-07,51,187,1342
GIX,2014-07-08,2014-08-27,51,117,2607
AYTU,2011-05-11,2011-06-30,51,131,1696
LBTYB,2011-09-21,2011-11-10,51,41,1790
MTC,2016-06-16,2016-08-05,51,90,1130
HMI,2014-02-11,2014-04-02,51,556,926
DIVC,2017-07-31,2017-09-19,51,116,762
BWFG,2011-04-21,2011-06-10,51,132,880
RCA,2012-05-31,2012-07-20,51,166,1039
NWGI,2013-04-29,2013-06-18,51,65,1434
SPFI,2008-03-25,2008-05-14,51,229,1793
PJT,2013-08-19,2013-10-08,51,78,2431
PFIE,2010-07-26,2010-09-14,51,36,252
PJT,2013-12-17,2014-02-05,51,78,2431
EBMT,2009-06-10,2009-07-30,51,59,1786
PRPL,2016-05-26,2016-07-15,51,35,284
EVI,1997-05-29,1997-07-18,51,36,1402
MSVB,2001-11-06,2001-12-26,51,115,3926
SPFI,2016-08-17,2016-10-06,51,229,1793
UBX,2004-05-03,2004-06-21,50,1036,2041
BDCZ,2016-11-04,2016-12-23,50,94,712
TRT,1995-07-03,1995-08-21,50,278,1268
PAVMW,2018-09-05,2018-10-24,50,48,549
NPA,2016-04-26,2016-06-14,50,122,1884
MLPO,2016-05-20,2016-07-08,50,77,983
LNG,1995-02-08,1995-03-29,50,49,560
MOMO,2012-07-05,2012-08-23,50,43,1142
CAE,1998-01-05,1998-02-23,50,50,1194
AYTU,2015-08-18,2015-10-06,50,131,1696
GSX,2014-05-28,2014-07-16,50,45,430
BCTF,2008-07-21,2008-09-08,50,155,3025
OPBK,2011-05-20,2011-07-08,50,161,2090
ALRS,2004-04-29,2004-06-17,50,34,2072
ABEV,2003-02-27,2003-04-17,50,48,1519
LTRPB,2018-09-12,2018-10-31,50,40,997
RVSB,1994-03-04,1994-04-22,50,35,730
PTVCA,1993-06-01,1993-07-20,50,103,3782
FCAU,2010-06-18,2010-08-06,50,35,493
HNRG,1994-04-19,1994-06-07,50,73,3290
PLX,2002-10-22,2002-12-10,50,80,1679
PFHD,2017-09-14,2017-11-02,50,57,537
FDBC,2002-10-14,2002-12-02,50,47,2353
KLR,2008-11-21,2009-01-09,50,560,1397
FPAY,2012-05-01,2012-06-19,50,105,1055
FPAY,2012-02-16,2012-04-05,50,105,1055
NEW,2005-05-23,2005-07-11,50,37,1104
SG,2015-07-17,2015-09-04,50,144,1810
PSN,2013-11-25,2014-01-13,50,106,612
KLR,2009-01-21,2009-03-11,50,560,1397
FSBC,2012-10-26,2012-12-14,50,56,1958
ARWR,1998-04-28,1998-06-16,50,70,2032
VBFC,2000-08-14,2000-10-02,50,45,2026
NMRD,2016-12-28,2017-02-15,50,55,325
BCTF,2013-05-14,2013-07-02,50,155,3025
LFACU,2019-12-26,2020-02-13,50,34,219
MCF,1995-06-29,1995-08-17,50,90,1481
NIU,1999-05-12,1999-06-30,50,80,2245
YUMA,1995-03-24,1995-05-12,50,319,2485
HNRG,2002-01-22,2002-03-12,50,73,3290
CEMI,2000-11-28,2001-01-16,50,70,937
NK,2014-12-31,2015-02-18,50,26,154
SAF,2017-10-02,2017-11-20,50,90,560
PFIS,2002-12-26,2003-02-13,50,34,1317
MBCN,2004-08-24,2004-10-12,50,35,1837
EEH,2011-08-25,2011-10-13,50,48,1717
MTC,2015-11-04,2015-12-23,50,90,1130
TDACU,2019-12-26,2020-02-13,50,34,227
SRNE,2010-08-02,2010-09-20,50,82,1223
AMCR,2014-07-18,2014-09-05,50,54,1345
GLIBP,2016-07-27,2016-09-14,50,86,1141
SRAX,2013-08-23,2013-10-11,50,35,366
HWBK,2000-01-21,2000-03-10,50,35,766
IOVA,2010-06-24,2010-08-12,50,26,215
ARWR,2000-10-12,2000-11-29,49,70,2032
CEMI,2003-09-23,2003-11-10,49,70,937
CIVB,1995-03-28,1995-05-15,49,45,1212
ALT,2002-06-25,2002-08-12,49,78,1032
MXC,1999-04-07,1999-05-25,49,164,2419
CIVB,1995-09-27,1995-11-14,49,45,1212
ICL,2004-08-18,2004-10-05,49,270,1731
TU,1997-04-29,1997-06-16,49,87,918
COFS,2002-08-23,2002-10-10,49,58,2372
GMAB,2010-03-16,2010-05-03,49,241,1068
KBLMU,2019-06-07,2019-07-25,49,72,494
MARA,2012-07-18,2012-09-04,49,39,170
CBFV,2009-10-07,2009-11-24,49,35,1688
FGBI,2014-06-05,2014-07-23,49,57,699
MAYS,2005-05-31,2005-07-18,49,55,4187
FPAY,2012-08-29,2012-10-16,49,105,1055
MSVB,2013-12-20,2014-02-06,49,115,3926
KFS,1999-01-27,1999-03-16,49,106,730
NEW,2005-03-29,2005-05-16,49,37,1104
CNF,2017-06-20,2017-08-07,49,107,627
KIQ,2007-12-26,2008-02-12,49,175,3475
KIQ,2007-01-03,2007-02-20,49,175,3475
YUMA,1999-08-11,1999-09-28,49,319,2485
YUMA,1998-11-11,1998-12-29,49,319,2485
BCDA,2005-08-16,2005-10-03,49,61,1991
GLBZ,2000-03-23,2000-05-10,49,34,1467
PBHC,2013-05-24,2013-07-11,49,44,2267
ICL,2001-01-03,2001-02-20,49,270,1731
CEMI,2001-12-11,2002-01-28,49,70,937
SWP,1993-03-12,1993-04-29,49,64,833
YUMA,1997-03-12,1997-04-29,49,319,2485
UIHC,2012-03-22,2012-05-09,49,64,884
MLPE,2016-12-07,2017-01-24,49,52,654
BLD,2014-04-11,2014-05-29,49,62,1016
KELYB,2009-03-03,2009-04-20,49,96,4631
DSS,1995-04-25,1995-06-12,49,53,780
MXC,2000-05-02,2000-06-19,49,164,2419
CAPR,2007-02-16,2007-04-05,49,53,355
KELYB,1998-09-02,1998-10-20,49,96,4631
DTSS,2018-10-31,2018-12-18,49,40,116
ARWR,1998-01-28,1998-03-17,49,70,2032
GLIBP,2014-05-14,2014-06-30,48,86,1141
MLPO,2018-03-07,2018-04-23,48,77,983
AMCR,2016-08-18,2016-10-04,48,54,1345
FPAY,2011-12-07,2012-01-23,48,105,1055
PFIE,2010-05-13,2010-06-29,48,36,252
ESTE,1998-09-02,1998-10-19,48,36,1208
FGBI,2013-06-13,2013-07-30,48,57,699
AMRH,2017-09-08,2017-10-25,48,40,440
MXC,1995-08-24,1995-10-10,48,164,2419
FSBC,2013-07-03,2013-08-19,48,56,1958
MXC,1996-09-06,1996-10-23,48,164,2419
LTRPB,2016-12-28,2017-02-13,48,40,997
MAYS,2001-10-10,2001-11-26,48,55,4187
LTRPB,2016-09-07,2016-10-24,48,40,997
CAI,2005-11-17,2006-01-03,48,55,189
OPBK,2010-06-18,2010-08-04,48,161,2090
CCB,2013-09-11,2013-10-28,48,253,1818
FDBC,2003-06-04,2003-07-21,48,47,2353
BE,2006-01-25,2006-03-13,48,117,2051
ABEV,2003-09-04,2003-10-21,48,48,1519
KIQ,1998-08-06,1998-09-22,48,175,3475
SUZ,2009-06-05,2009-07-22,48,49,1255
JJP,2018-03-01,2018-04-17,48,33,481
KELYB,1997-07-03,1997-08-19,48,96,4631
COCP,2012-10-12,2012-11-28,48,34,303
ELJ,2018-11-28,2019-01-14,48,31,310
BHAT,2017-02-01,2017-03-20,48,234,1339
WPM,2002-03-14,2002-04-30,48,92,996
HFBL,2010-01-20,2010-03-08,48,33,1291
JG,2014-07-30,2014-09-15,48,62,1061
KLR,2015-08-27,2015-10-12,47,560,1397
PSTV,2000-11-17,2001-01-02,47,30,712
BPTH,2008-03-10,2008-04-25,47,34,323
PBHC,2012-05-18,2012-07-03,47,44,2267
ABEV,2003-01-10,2003-02-25,47,48,1519
ABEV,2001-11-15,2001-12-31,47,48,1519
AYTU,2012-03-08,2012-04-23,47,131,1696
AYTU,2015-01-23,2015-03-10,47,131,1696
UBCP,1993-03-05,1993-04-20,47,77,1284
EVGN,2012-10-11,2012-11-26,47,77,725
AMUB,2017-12-28,2018-02-12,47,160,831
COCP,2012-06-04,2012-07-20,47,34,303
GAZ,2017-11-03,2017-12-19,47,32,325
ALACU,2020-01-31,2020-03-17,47,32,206
OTTW,2013-12-23,2014-02-07,47,39,1706
PTE,2002-07-29,2002-09-13,47,39,605
CAE,2000-03-10,2000-04-25,47,50,1194
HMG,2011-06-02,2011-07-18,47,39,3152
GRAF,2003-09-15,2003-10-31,47,1223,3366
GWB,2009-01-05,2009-02-20,47,247,1415
PFBC,2003-05-15,2003-06-30,47,228,1314
CAPR,2007-08-02,2007-09-17,47,53,355
XELB,2013-03-25,2013-05-10,47,54,564
GPRK,2013-11-08,2013-12-24,47,51,697
MAYS,2005-08-05,2005-09-20,47,55,4187
HQI,2004-08-19,2004-10-04,47,71,698
TU,1998-07-09,1998-08-24,47,87,918
YUMA,1998-08-28,1998-10-13,47,319,2485
KFS,1999-09-13,1999-10-29,47,106,730
LFVN,1994-10-24,1994-12-09,47,290,2466
KELYB,2001-03-20,2001-05-04,46,96,4631
BHAT,2015-10-23,2015-12-07,46,234,1339
FSBC,2014-08-26,2014-10-10,46,56,1958
KELYB,1997-09-12,1997-10-27,46,96,4631
RCA,2015-09-18,2015-11-02,46,166,1039
FSI,2000-05-01,2000-06-15,46,39,304
BRBS,2015-06-02,2015-07-17,46,45,1302
ENG,1996-06-03,1996-07-18,46,33,307
KGJI,2009-06-23,2009-08-07,46,33,1229
SMMF,2001-10-16,2001-11-30,46,33,607
KELYB,1996-01-30,1996-03-15,46,96,4631
LONE,2012-06-29,2012-08-13,46,60,1126
ARWR,2002-07-05,2002-08-19,46,70,2032
CTXR,2015-12-15,2016-01-29,46,62,329
PCB,2012-08-13,2012-09-27,46,131,830
BWFG,2011-12-05,2012-01-19,46,132,880
RMG,2000-05-02,2000-06-16,46,120,1003
PFBC,2002-10-04,2002-11-18,46,228,1314
RUN,2015-01-09,2015-02-23,46,9,147
AYTU,2010-01-29,2010-03-15,46,131,1696
SNR,2014-09-09,2014-10-24,46,24,315
HNRG,2007-10-05,2007-11-19,46,73,3290
WEI,2012-03-05,2012-04-19,46,1453,3275
PAYS,2007-11-23,2008-01-07,46,93,1140
COCP,2012-03-16,2012-04-30,46,34,303
KELYB,2013-02-01,2013-03-18,46,96,4631
RILY,2012-02-03,2012-03-19,46,31,690
CCB,2014-03-17,2014-05-01,46,253,1818
NVGS,2012-06-04,2012-07-18,45,203,1442
NMR,1995-05-23,1995-07-06,45,31,497
STG,2014-04-15,2014-05-29,45,187,1342
WILC,2016-02-22,2016-04-06,45,32,482
MTA,2015-12-30,2016-02-12,45,31,1073
JG,2013-08-13,2013-09-26,45,62,1061
YUMA,1994-11-30,1995-01-13,45,319,2485
MLPO,2017-12-18,2018-01-31,45,77,983
STG,2006-09-27,2006-11-10,45,187,1342
SASR,1994-04-18,1994-06-01,45,31,389
PFBC,2002-01-16,2002-03-01,45,228,1314
TU,1996-12-11,1997-01-24,45,87,918
OGI,2003-05-20,2003-07-03,45,31,307
IMV,2012-01-11,2012-02-24,45,50,1241
AMCR,2012-08-29,2012-10-12,45,54,1345
OTTW,2010-06-29,2010-08-12,45,39,1706
TMSR,2017-01-18,2017-03-03,45,46,531
CCB,2012-02-15,2012-03-30,45,253,1818
PJT,2006-02-01,2006-03-17,45,78,2431
DIVC,2017-04-10,2017-05-24,45,116,762
XELB,2013-07-23,2013-09-05,45,54,564
MEC,2013-12-24,2014-02-06,45,55,863
MXC,2003-07-23,2003-09-05,45,164,2419
DUOT,2009-07-13,2009-08-26,45,265,974
GRAF,2010-03-03,2010-04-16,45,1223,3366
HNRG,2001-01-17,2001-03-02,45,73,3290
KIQ,2001-12-19,2002-02-01,45,175,3475
KFS,2000-11-28,2001-01-11,45,106,730
CKX,2001-08-08,2001-09-21,45,86,1945
GIX,2002-01-15,2002-02-28,45,117,2607
KIQ,2010-01-27,2010-03-12,45,175,3475
COFS,2001-10-30,2001-12-13,45,58,2372
CKX,2002-11-06,2002-12-20,45,86,1945
ABEV,1997-04-24,1997-06-06,44,48,1519
FMBH,2012-08-27,2012-10-09,44,31,2428
TMSR,2016-11-03,2016-12-16,44,46,531
AEMD,1999-08-12,1999-09-24,44,49,802
TSG,2012-01-30,2012-03-13,44,31,558
UJPY,2017-12-13,2018-01-25,44,29,105
DCHF,2018-06-28,2018-08-10,44,31,264
INUV,2000-04-19,2000-06-01,44,30,737
ATCO,2012-01-24,2012-03-07,44,25,335
SASR,1994-11-17,1994-12-30,44,31,389
MLPE,2017-10-16,2017-11-28,44,52,654
EBMT,2008-02-05,2008-03-19,44,59,1786
JJS,2018-02-06,2018-03-21,44,31,677
ENSV,1997-05-14,1997-06-26,44,31,1297
SRAX,2013-07-01,2013-08-13,44,35,366
CGA,2008-06-24,2008-08-06,44,31,67
PPHI,2019-10-01,2019-11-13,44,32,204
DXPE,2001-10-04,2001-11-16,44,32,604
TCFC,2012-08-28,2012-10-10,44,40,1507
AMRH,2016-05-19,2016-07-01,44,40,440
IMTE,2017-10-09,2017-11-21,44,32,96
ORRF,2001-09-27,2001-11-09,44,32,1270
HNRG,1995-03-01,1995-04-13,44,73,3290
CXDC,2008-08-25,2008-10-07,44,73,350
WEI,2007-09-05,2007-10-18,44,1453,3275
MBCN,2003-07-08,2003-08-20,44,35,1837
IMV,2012-07-17,2012-08-29,44,50,1241
SRAX,2012-10-18,2012-11-30,44,35,366
PJT,2006-06-19,2006-08-01,44,78,2431
CKX,1999-07-19,1999-08-31,44,86,1945
PCB,2013-10-09,2013-11-21,44,131,830
