ticker,start_date,end_date,days,max_consecutive_days,total_stale_days
TT,2013-10-30,2014-05-05,188,432,1781
PFBC,2003-07-02,2004-01-05,188,228,1314
TAK,2001-09-10,2002-03-15,187,24,329
WEI,2008-10-13,2009-04-16,186,1453,3275
CTK,2009-04-20,2009-10-22,186,215,618
SGOC,2010-06-16,2010-12-17,185,130,639
LBC,2002-11-06,2003-05-08,184,181,1956
OCCI,2012-03-28,2012-09-20,177,426,1236
SPFI,2018-11-13,2019-05-08,177,229,1793
NPA,2004-08-16,2005-02-07,176,122,1884
GRAF,2008-11-26,2009-05-20,176,1223,3366
VERB,2015-02-04,2015-07-27,174,120,244
BRQS,2019-09-23,2020-03-11,171,118,346
RMG,2005-06-15,2005-12-02,171,120,1003
NVGS,2008-09-16,2009-03-04,170,203,1442
OVBC,1994-11-11,1995-04-28,169,116,1847
YETI,2017-03-16,2017-08-31,169,94,128
ICL,2003-08-08,2004-01-23,169,270,1731
BE,2005-04-28,2005-10-12,168,117,2051
CLSK,2014-09-11,2015-02-25,168,238,1229
AYTU,2012-07-27,2013-01-09,167,131,1696
NVGS,2010-05-06,2010-10-19,167,203,1442
MSVB,2010-03-31,2010-09-13,167,115,3926
DIVC,2018-04-27,2018-10-10,167,116,762
GIX,2015-03-02,2015-08-14,166,117,2607
LFVN,1994-05-09,1994-10-20,165,290,2466
FBMS,2003-09-26,2004-03-08,165,165,1355
SPFI,2015-05-21,2015-10-27,160,229,1793
BE,2004-06-10,2004-11-16,160,117,2051
GRAF,2009-05-22,2009-10-27,159,1223,3366
ROAD,2014-08-04,2015-01-09,159,614,1154
CCBG,1995-08-25,1996-01-29,158,233,717
GLG,2013-03-08,2013-08-12,158,151,339
CNF,2016-11-25,2017-05-01,158,107,627
TXMD,2008-09-15,2009-02-17,156,107,883
MXC,1997-07-16,1997-12-17,155,164,2419
KIQ,1996-07-09,1996-12-10,155,175,3475
VFF,2017-08-22,2018-01-22,154,84,379
SPFI,2016-03-15,2016-08-15,154,229,1793
DTW,2014-12-03,2015-05-05,154,214,471
GRAF,2003-03-20,2003-08-20,154,1223,3366
PSN,2016-09-14,2017-02-14,154,106,612
ICON,1999-05-14,1999-10-13,153,106,139
KFS,2000-02-25,2000-07-26,153,106,730
FPAY,2010-09-16,2011-02-14,152,105,1055
VFF,2016-01-29,2016-06-28,152,84,379
SG,2011-12-12,2012-05-11,152,144,1810
ROSEU,2017-11-09,2018-04-09,152,102,665
CFB,2013-09-24,2014-02-21,151,104,814
PFBC,2000-07-19,2000-12-15,150,228,1314
BPMX,2014-04-10,2014-09-05,149,287,475
PTVCA,1994-07-06,1994-11-29,147,103,3782
REI,2009-05-14,2009-10-01,141,98,1160
KELYB,2018-02-08,2018-06-26,139,96,4631
ICL,2003-01-02,2003-05-20,139,270,1731
AYTU,2013-10-23,2014-03-10,139,131,1696
REI,2010-02-19,2010-07-06,138,98,1160
FINS,2015-11-09,2016-03-24,137,77,329
REI,2009-10-05,2010-02-17,136,98,1160
SPT,2017-09-18,2018-01-30,135,93,723
KLR,2017-02-22,2017-07-06,135,560,1397
TT,1998-06-17,1998-10-29,135,432,1781
BDCZ,2016-06-21,2016-11-01,134,94,712
LD,2018-09-11,2019-01-22,134,91,1282
WPM,2004-03-30,2004-08-10,134,92,996
PAYS,2009-05-07,2009-09-17,134,93,1140
SPFI,2018-04-18,2018-08-29,134,229,1793
MTC,2014-11-11,2015-03-23,133,90,1130
KELYB,2015-02-20,2015-07-02,133,96,4631
GRAF,2008-05-08,2008-09-17,133,1223,3366
MCF,1997-10-22,1998-03-02,132,90,1481
TXMD,2007-05-10,2007-09-17,131,107,883
MXC,1994-12-30,1995-05-09,131,164,2419
FIV,2015-06-09,2015-10-16,130,616,1064
SAF,2018-02-20,2018-06-29,130,90,560
MCF,1996-01-15,1996-05-21,128,90,1481
PFBC,2002-03-05,2002-07-10,128,228,1314
KELYB,1996-07-30,1996-12-03,127,96,4631
REI,2010-07-27,2010-11-30,127,98,1160
MXC,1998-07-20,1998-11-23,127,164,2419
MCBS,2018-09-14,2019-01-17,126,86,575
TU,1996-08-07,1996-12-09,125,87,918
RCA,2015-05-15,2015-09-16,125,166,1039
MXC,1997-03-12,1997-07-14,125,164,2419
WPM,2001-11-08,2002-03-12,125,92,996
CKX,2001-10-08,2002-02-08,124,86,1945
GLIBP,2017-08-28,2017-12-28,123,86,1141
ACB,2014-09-09,2015-01-09,123,213,1099
VMD,2006-07-18,2006-11-17,123,213,1247
VFF,2015-01-05,2015-05-06,122,84,379
FRHC,2017-10-04,2018-02-02,122,84,319
UCIB,2018-09-04,2019-01-02,121,83,819
MCF,1997-04-28,1997-08-25,120,90,1481
BE,2009-06-04,2009-10-01,120,117,2051
EMP,2018-04-12,2018-08-08,119,83,296
SRNE,2009-03-18,2009-07-14,119,82,1223
PLX,2004-11-11,2005-03-08,118,80,1679
NTES,2001-09-05,2001-12-31,118,78,79
AYTU,2014-09-25,2015-01-20,118,131,1696
SGOC,2012-05-18,2012-09-10,116,130,639
RCA,2013-02-25,2013-06-20,116,166,1039
PFBC,1999-08-20,1999-12-13,116,228,1314
GRAF,2012-03-07,2012-06-29,115,1223,3366
PLX,2004-05-24,2004-09-15,115,80,1679
NVGS,2007-05-30,2007-09-20,114,203,1442
LFVN,1999-06-22,1999-10-13,114,290,2466
MLPO,2016-11-22,2017-03-15,114,77,983
KIQ,2009-02-11,2009-06-04,114,175,3475
OCCI,2018-06-14,2018-10-04,113,426,1236
YUMA,1999-02-18,1999-06-10,113,319,2485
AIRI,2003-01-23,2003-05-15,113,79,1622
NIU,2006-07-07,2006-10-27,113,80,2245
PJT,2012-04-24,2012-08-13,112,78,2431
ALT,2012-04-18,2012-08-07,112,78,1032
MXC,1999-05-27,1999-09-15,112,164,2419
UBCP,1993-06-03,1993-09-21,111,77,1284
GMAB,2012-08-16,2012-12-04,111,241,1068
EVGN,2011-08-11,2011-11-29,111,77,725
AYTU,2011-10-20,2012-02-07,111,131,1696
UCIB,2018-01-18,2018-05-07,110,83,819
