Date,Long,long_close,long_ret5,long_prob_up,Short,short_close,short_ret5,short_prob_up
2001-03-13,zion.us,51.21,-0.0638742433118532,0.6896689,leu.us,1340.04,-0.0074624638070505,0.32767302
2001-03-14,wor.us,7.3936,-0.004733823847652,0.69133,axgn.us,1.55,-0.0774193548387097,0.37866017
2001-03-15,nbr.us,24.96,-0.0088141025641026,0.6750204,agn.us,55.848,-0.0899584586735424,0.41077065
2001-03-16,nav.us,23.68,-0.051097972972973,0.6981908,seb.us,171.47,-0.0577360471219455,0.3678388
2001-03-19,cah.us,37.86,-0.0045430533544637,0.65648144,fmbh.us,6.6793,0.0166484511850044,0.39433226
2001-03-20,hig.us,50.462,-0.0086005310927035,0.67889243,fmbh.us,6.9853,-0.0199132463888451,0.35165152
2001-03-21,intc.us,20.498,0.0539564835593715,0.7083682,atro.us,2.5162,0.0726094905015499,0.3900536
2001-03-22,pki.us,20.286,0.1068717342009266,0.6751455,nke.us,4.4859,0.0107224860117256,0.41096187
2001-03-23,lnc.us,33.865,0.0631330282002067,0.6708153,amd.us,29.44,-0.0985054347826087,0.3804515
2001-03-26,xl.us,57.976,0.1183248240651304,0.6545773,rave.us,1.75,0.0,0.3924417
2001-03-27,trxc.us,15.45,-0.1391585760517798,0.62381274,usb.us,18.466,-0.0115888660240442,0.37625942
2001-03-28,gd.us,25.544,0.0443939868462262,0.6435221,fmbh.us,6.9853,-0.0278871344108341,0.31026316
2001-03-29,mxim.us,34.384,-0.0837598883201489,0.6949652,fmbh.us,6.7905,0.0040939547897798,0.35891438
2001-03-30,rig.us,34.471,0.0491427576803691,0.6603015,txt.us,26.475,0.0026440037771482,0.4024937
2001-04-02,dhr.us,13.101,0.0103808869551942,0.65108585,aep.us,31.732,0.0211773603932938,0.37103638
2001-04-03,slb.us,22.604,0.1634666430720226,0.6693116,rave.us,1.75,0.0857142857142856,0.38495058
2001-04-04,slb.us,23.035,0.1138267853266767,0.69232255,nem.us,15.274,-0.0523111169307319,0.41581988
2001-04-05,amd.us,23.02,0.079496090356212,0.68538314,cop.us,15.608,0.0201819579702715,0.3914951
2001-04-06,adm.us,9.4841,-0.0080028679579505,0.6434312,cvg.us,33.651,0.0731330421087039,0.36824402
2001-04-09,cvs.us,23.894,0.0415585502636646,0.6108101,rave.us,1.87,0.0160427807486629,0.3671601
2001-04-10,amgn.us,45.065,0.1948962609563964,0.6550304,mco.us,13.101,0.0532783756965116,0.38635543
2001-04-11,amgn.us,45.383,0.1775114029482405,0.62611806,sna.us,24.01,0.059475218658892,0.38371366
2001-04-12,mtg.us,63.26,-0.0181789440404679,0.6689626,fcx.us,5.7283,-0.0043119250039278,0.3565391
2001-04-16,kss.us,43.313,0.088056703530118,0.63161236,jpm.us,37.922,0.03955487579769,0.38912138
2001-04-17,lb.us,9.1663,0.0940073966595027,0.678521,apc.us,32.485,-0.0607357241803909,0.36131293
2001-04-18,hban.us,11.545,-0.0058033780857513,0.65555036,xrx.us,21.662,0.2781368294709632,0.3803435
2001-04-19,key.us,18.026,-0.0077665594141795,0.6219175,ibm.us,95.582,-0.0063819547613567,0.32539785
2001-04-20,eix.us,8.5007,-0.040690766642747,0.66452676,pki.us,29.114,-0.0052552036820774,0.3908694
2001-04-23,eix.us,8.5417,-0.0501071215331843,0.65253514,ensv.us,0.45,0.0444444444444442,0.33905298
2001-04-24,bdx.us,26.779,0.0494417267261659,0.6629646,axgn.us,1.6,0.0312499999999997,0.31769687
2001-04-25,msa.us,5.2999,0.0413781392101737,0.6979811,axgn.us,1.6,0.0249999999999999,0.3773302
2001-04-26,brk-a.us,66000.0,0.0287878787878788,0.65354985,axgn.us,1.64,-0.1158536585365853,0.32742992
